"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
51,"EM",0.993078632850961,4.11001690625869,7.05884609666143,0.999709964435131,1.08900091198369,0.912170934144896,0.336708655597266,0.382475374717689,0.280815969685045,0.187199115753174
51,"MCMC",0.98496764925,4.1036643825,7.0539811175,1.010745651125,1.186630587625,0.929995331125,0.327692635125,0.3983310925,0.2739762686875,67.5439319610596
52,"EM",0.79079290832934,3.49558131576847,6.7421633561583,0.97001935032435,1.09090180770079,1.11931460039252,0.304428892571245,0.319773864523827,0.375797242904929,0.423984050750732
52,"MCMC",0.772046229125,3.48422067875,6.8113656625,0.96502723375,1.349256798125,1.099723941125,0.2740327661875,0.378919284,0.347047941625,91.1039619445801
53,"EM",0.991450783268814,3.89433717592008,6.94715568181168,1.01647828792593,0.923630258537135,1.10077225397397,0.312433682499943,0.320913911009934,0.366652406490123,0.231469869613647
53,"MCMC",0.953653098125,3.8951583125,6.98705260375,1.012810647625,1.064582906375,1.092349748625,0.2972315887,0.351684070375,0.351084328625,67.8315827846527
54,"EM",1.0457930572766,4.03272913642677,7.13478889033091,0.981706074379141,1.08901786391872,0.876923388120159,0.319932133151494,0.379815134836875,0.30025273201163,0.199026107788086
54,"MCMC",1.0267344425,3.96767183875,7.15152729875,0.943590612,1.2971545415,0.874958337875,0.29011683055,0.42594766,0.283935507375,62.6078269481659
55,"EM",0.885573768678278,4.02141840390698,7.06776292027727,1.00174569470715,0.998630890271128,0.889305663839895,0.326473615798352,0.343893847820114,0.329632536381535,0.127591848373413
55,"MCMC",0.864633266375,4.02226183,7.087501425,1.003381927125,1.100385379,0.891060978625,0.3168966785,0.36333213275,0.3197711865,67.8624320030212
56,"EM",0.854111683708209,3.90327361872267,7.18886289233825,0.898439092051026,1.32632357986198,0.872817110414326,0.264594875575009,0.416349231942282,0.319055892482708,0.461093902587891
56,"MCMC",0.893758753875,3.90475376375,7.1641706,0.9227721895,1.344955521125,0.89180437875,0.2662800781375,0.414702163625,0.319017758875,67.319769859314
57,"EM",0.892489008395006,4.16838695061228,7.07000128596845,0.911739213242347,1.16852484730151,0.924384258501591,0.315753253184796,0.378673513295315,0.30557323351989,0.105777025222778
57,"MCMC",0.86658212175,4.21091071125,7.0911986575,0.907457501125,1.34296890675,0.9139952695,0.300343765125,0.41811564725,0.281540592025,72.6739599704742
58,"EM",1.17531040057375,4.21374494804345,7.06455045747579,1.11092440388122,0.746383828443879,1.00822914141386,0.384793008838279,0.269200506397812,0.346006484763909,0.0670549869537354
58,"MCMC",1.16106007325,4.222491675,7.08601723,1.11238241675,0.81836928625,1.005865474,0.379671908,0.28126445675,0.339063630625,58.4946410655975
59,"EM",1.19367771447351,4.27301644993209,6.99261054937464,1.13215791458864,0.685213604441034,0.9626044510391,0.412305612632602,0.266862781821093,0.320831605546305,0.0633919239044189
59,"MCMC",1.17230793825,4.274854805,7.01082510875,1.125605291375,0.75509394575,0.960983257375,0.405033223375,0.28039797875,0.31456878675,40.0679368972778
60,"EM",1.08814603232949,4.12952318424606,6.83670823118379,1.05032383179189,0.695992920569131,1.00903283769672,0.368692572937723,0.289142923997696,0.342164503064582,0.0496890544891357
60,"MCMC",1.0902004155,4.13515082875,6.8358850575,1.0578114135,0.728816615875,1.019366713375,0.367317153125,0.291696614,0.34098623425,35.4296450614929
61,"EM",0.716033790627917,3.81031785933859,7.0767072786061,0.916410089857216,1.20842116429104,0.953816103308025,0.311840670996745,0.35030251251128,0.337856816491975,0.282333850860596
61,"MCMC",0.71579910225,3.81867266125,7.09185023125,0.926306542875,1.320636445625,0.95691492425,0.302138634,0.3717488865,0.3261124715,48.6541271209717
62,"EM",1.21877427667584,4.01011436218378,6.80944066154318,1.11186090956459,0.679632234555031,1.15063508946694,0.380253092041501,0.267005276998348,0.352741630960151,0.048551082611084
62,"MCMC",1.21313614925,4.00084132,6.798311855,1.115835098,0.718234423125,1.16513803525,0.376939916,0.270224210625,0.35283586275,33.5564730167389
63,"EM",1.222000827864,4.14665731751472,6.84360711265786,1.05705793560173,0.858523854769576,0.951605423793664,0.396789170713053,0.281141761888498,0.322069067398448,0.123531818389893
63,"MCMC",1.166681101625,4.16284699375,6.90737413375,1.04314575575,1.058596928875,0.9356163305,0.375006123875,0.327545692,0.2974481805,46.2284619808197
64,"EM",0.868198339972908,4.29957731938889,7.32611814132207,1.02022577805468,1.63348072262665,0.829758237359546,0.3059326781425,0.469931856357504,0.224135465499996,0.215615034103394
64,"MCMC",0.943518492,4.26336686,7.23977888125,1.060243547,1.53066087325,0.873016422125,0.320988969375,0.433204303,0.2458067293625,56.7134730815887
65,"EM",0.708092119054259,3.96385783870161,7.33211771951249,0.846119831983115,1.43836791214543,0.807618238879212,0.295847315329108,0.488490409134866,0.215662275536026,0.166453123092651
65,"MCMC",0.752067188375,3.95717871125,7.27068527625,0.8732280055,1.389046758375,0.848397423125,0.304145741,0.4697556225,0.2260986283875,42.2366871833801
